Starting gRPC server
cd ../grpc-server/build && ./grpcServer
Order, good,-2.26 ,ASK[RIPI], 716.800000, 720.384000, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:13 -03 2024
Order, good,-0.16 ,ASK[BINA], 704.900000, 705.604900, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:15 -03 2024
Order, good,-0.16 ,ASK[BINA], 704.900000, 705.604900, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:16 -03 2024
Order, good,-0.24 ,ASK[BINA], 704.600000, 705.304600, 0.000000, BID[BINA], 704.300000, 703.595700, 0.000000, time,Sat Apr 27 01:19:19 -03 2024
Order, good,-0.23 ,ASK[BINA], 704.400000, 705.104400, 0.000000, BID[BINA], 704.200000, 703.495800, 0.000000, time,Sat Apr 27 01:19:20 -03 2024
Order, good,-0.23 ,ASK[BINA], 704.400000, 705.104400, 0.000000, BID[BINA], 704.200000, 703.495800, 0.000000, time,Sat Apr 27 01:19:21 -03 2024
Order, good,-0.12 ,ASK[BINA], 704.600000, 705.304600, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:24 -03 2024
Order, good,-0.12 ,ASK[BINA], 704.600000, 705.304600, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:26 -03 2024
Order, good,-0.12 ,ASK[BINA], 704.600000, 705.304600, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:28 -03 2024
Order, good,-0.12 ,ASK[BINA], 704.600000, 705.304600, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:30 -03 2024
Order, good,-0.12 ,ASK[BINA], 704.600000, 705.304600, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:32 -03 2024
Order, good,-0.12 ,ASK[BINA], 704.600000, 705.304600, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:35 -03 2024
Order, good,-0.12 ,ASK[BINA], 704.600000, 705.304600, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:35 -03 2024
Order, good,-0.16 ,ASK[BINA], 704.900000, 705.604900, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:38 -03 2024
Order, good,-0.16 ,ASK[BINA], 704.900000, 705.604900, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:40 -03 2024
Order, good,-0.16 ,ASK[BINA], 704.900000, 705.604900, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:40 -03 2024
Order, good,-0.19 ,ASK[BINA], 705.100000, 705.805100, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:42 -03 2024
Order, good,-0.21 ,ASK[BINA], 705.200000, 705.905200, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:44 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.300000, 706.005300, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:48 -03 2024
Order, good,-0.21 ,ASK[BINA], 705.200000, 705.905200, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:51 -03 2024
Order, good,-0.21 ,ASK[BINA], 705.200000, 705.905200, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:51 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.300000, 706.005300, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:55 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.300000, 706.005300, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:56 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.300000, 706.005300, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:19:59 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.300000, 706.005300, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:00 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.300000, 706.005300, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:03 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.300000, 706.005300, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:04 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.300000, 706.005300, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:07 -03 2024
Order, good,-0.22 ,ASK[BINA], 705.300000, 706.005300, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:07 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.400000, 706.105400, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:11 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.400000, 706.105400, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:12 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.400000, 706.105400, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:15 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.400000, 706.105400, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:16 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.400000, 706.105400, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:18 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.400000, 706.105400, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:20 -03 2024
Order, good,-0.23 ,ASK[BINA], 705.400000, 706.105400, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:21 -03 2024
Order, good,-0.28 ,ASK[BINA], 705.700000, 706.405700, 0.000000, BID[RIPI], 708.000000, 704.460000, 0.000000, time,Sat Apr 27 01:20:24 -03 2024
